image_path,channel_name,message_id,detected_class,confidence_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,image_category,model_name,inference_ts
data/raw/images/CheMed123/10.jpg,CheMed123,10,,,,,,,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/11.jpg,CheMed123,11,clock,0.4272958040237427,14.794464111328125,68.83792877197266,1017.0597534179688,1015.8035278320312,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,hot dog,0.5038573741912842,525.976806640625,634.03759765625,640.9716796875,752.583984375,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,donut,0.398997038602829,591.7051391601562,588.3563232421875,700.2650756835938,706.5772705078125,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,hot dog,0.3097340166568756,298.99737548828125,615.65869140625,401.0133056640625,716.1962890625,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,donut,0.2969227433204651,483.271728515625,559.5343017578125,580.877685546875,645.15478515625,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,hot dog,0.263660192489624,470.69189453125,687.9140014648438,582.2236328125,789.9092407226562,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/13.jpg,CheMed123,13,hot dog,0.2502400577068329,482.82623291015625,559.193359375,581.6253051757812,644.184814453125,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/14.jpg,CheMed123,14,,,,,,,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/15.jpg,CheMed123,15,,,,,,,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.525965690612793,399.2087097167969,509.6058349609375,445.1525573730469,607.4102783203125,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.4945497214794159,501.37841796875,451.99066162109375,542.0057373046875,548.2235717773438,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.43178790807724,466.9656982421875,586.1439819335938,507.9967041015625,657.5914916992188,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.38737940788269043,574.7398681640625,374.265625,605.7822265625,462.27581787109375,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.3849712014198303,494.150634765625,577.7921142578125,536.541015625,673.1878662109375,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.37992390990257263,435.9056396484375,531.8916625976562,482.854736328125,636.8274536132812,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.3748760223388672,376.343017578125,287.2034912109375,446.0543212890625,484.5555419921875,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.3264203369617462,633.582275390625,510.8115234375,666.4842529296875,594.7371826171875,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.2848586142063141,585.3197021484375,525.00390625,614.3363037109375,597.0908203125,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.2792884409427643,610.6633911132812,513.05078125,638.2064819335938,605.114501953125,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/17.jpg,CheMed123,17,bottle,0.2718793451786041,601.2788696289062,390.3765869140625,631.6868286132812,446.43408203125,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/18.jpg,CheMed123,18,,,,,,,other,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/19.jpg,CheMed123,19,person,0.9401441216468811,676.1405029296875,428.8314208984375,1181.8526611328125,876.30322265625,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/19.jpg,CheMed123,19,person,0.9276632070541382,62.58905029296875,381.71710205078125,569.59912109375,865.6168823242188,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/19.jpg,CheMed123,19,dining table,0.3616376519203186,7.201904296875,816.9187622070312,1164.157470703125,959.2965698242188,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/19.jpg,CheMed123,19,dining table,0.32224979996681213,7.536865234375,738.81005859375,1277.37548828125,959.5399169921875,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/2.jpg,CheMed123,2,bottle,0.3871833384037018,384.7618103027344,355.1112976074219,547.1652221679688,647.0660400390625,product_display,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/20.jpg,CheMed123,20,person,0.9401441216468811,676.1405029296875,428.8314208984375,1181.8526611328125,876.30322265625,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
data/raw/images/CheMed123/20.jpg,CheMed123,20,person,0.9276632070541382,62.58905029296875,381.71710205078125,569.59912109375,865.6168823242188,lifestyle,yolov8n,2026-01-18T16:50:11.488898+00:00
